ck,family,type,base_rep,sft_single_rep,kl_single_rep,sft_seedens_rep,kl_seedens_rep,base_sft_rep,base_kl_rep,sft_kl_rep,base_sft_kl_rep,base_trans,sft_single_trans,kl_single_trans,sft_seedens_trans,kl_seedens_trans,base_sft_trans,base_kl_trans,sft_kl_trans,base_sft_kl_trans
granite_guardian_31_2b,granite,purpose_built,0.8472088478572676,0.9865156842452419,0.9320167978345273,0.9903365581036453,0.9390717187050086,0.9860770227126697,0.9116074174395449,0.9885275569441895,0.9827468037903052,0.9451064737540525,0.8115714398840531,0.8905808758168419,0.8462836770739743,0.9046811772967419,0.9256404628474337,0.9507731352315731,0.883514256526707,0.9282126092577329
llama_guard_3_1b,llama,purpose_built,0.4529401549615711,0.45294015496157114,0.45294015496157114,0.4529401549615711,0.4529401549615711,0.4529401549615711,0.4529401549615711,0.4529401549615711,0.4529401549615711,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
qwen25_15b,qwen,general,0.6308274770264124,0.9871567775475503,0.9787128780495202,0.9913456330947152,0.9838310621451388,0.9392154610519169,0.8846247946320983,0.9888543321226114,0.9628942338411726,0.8170835333832955,0.7943857679195483,0.845876858975625,0.8141574842523989,0.8552270783046786,0.8707080545111886,0.8747015417992532,0.8403769447415267,0.8800680721760739
qwen3_4b,qwen,general,0.8866714823603449,0.9825581205993217,0.9600910119610901,0.9899344449484335,0.9689977160622077,0.9449203525500273,0.9249138431699461,0.9840045985303076,0.9561982912872677,0.942497184734556,0.8336643586312806,0.8893961204567706,0.8678825492263973,0.9135510655672776,0.9391494801463323,0.9424877078795135,0.9041231488877771,0.9384591102483937
qwen3guard_gen_06b,qwen,purpose_built,0.902273601735239,0.9842217119808341,0.9436089772232453,0.9896867560706948,0.9537466533800151,0.9731158532342387,0.9321720859361271,0.9854290562700895,0.9711515744342157,0.9510745338998928,0.8350866499134769,0.9251275451209942,0.8585734960933589,0.9316667699401249,0.9372005744999179,0.9462824743399453,0.9161523042112695,0.9360468439512366
qwen3guard_gen_4b,qwen,purpose_built,0.8769698509376166,0.9888323217322681,0.9518099200375184,0.9929899085125409,0.9524395835860435,0.9739423130452183,0.9492863227319672,0.9833529928791132,0.96747432148692,0.9310083204615733,0.9109633049210037,0.9450700314750552,0.9320366838199587,0.9491035357420035,0.9464482206375464,0.9462186192064098,0.9501089663137716,0.9485087411908679
shieldgemma_2b,gemma,purpose_built,0.76936044303385,0.981735586794015,0.9301331831378258,0.9869601929294743,0.9329494717302294,0.9578727911341701,0.8810333201147734,0.9808845007304955,0.9588925350308096,0.8524346566183569,0.7930694324241949,0.8230734189279587,0.8167573208942552,0.8348228035659166,0.8926175702888357,0.8495992946898397,0.8695893737118252,0.8789274177686018
smollm2_17b,smollm,general,0.45048759421576184,0.9801562006592512,0.9311224399421878,0.9838499331862197,0.9353587061517085,0.9583636438752619,0.7458963499949073,0.9802624674278771,0.9592874648743073,0.7892667816621879,0.8423773882268014,0.8600613946578044,0.8551406956062665,0.8636234876926082,0.8759693833001299,0.8403677603404338,0.879597163223858,0.8788771540045184
smollm3_3b,smollm,general,0.665070644849375,0.9783465085858165,0.913430824623753,0.9864490493934115,0.9229338559540029,0.9623737859910917,0.8185407294849357,0.9842724027542453,0.9593346734434448,0.9103080638978079,0.7934631363732797,0.9017837420506989,0.816548029572564,0.9120316521270191,0.9102424835822776,0.9188309301120324,0.894025087190398,0.9143980546459726
wildguard_7b,mistral,purpose_built,0.88177473930874,0.988633312551326,0.9621087422402075,0.9938963749584152,0.9700675299230493,0.9720712144881012,0.9327587485483452,0.9919295246680452,0.9744319194467396,0.9703005425727624,0.8718095702565931,0.9354376212760936,0.89485995243144,0.9461434597449894,0.9642810903571625,0.967043764489346,0.9303560529773052,0.9615717611641583
